Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,437.150000,,0.000000,TSQL,88.5,69.3,023,NN,FM,5.00,S,,,,,
2,,439.250000,,0.000000,TSQL,88.5,100.0,023,NN,FM,5.00,S,,,,,
3,,441.750000,,0.000000,TSQL,88.5,151.4,023,NN,FM,5.00,S,,,,,
4,,443.450000,,0.000000,TSQL,88.5,203.5,023,NN,FM,5.00,S,,,,,
5,,445.550000,,0.000000,TSQL,88.5,241.8,023,NN,FM,5.00,S,,,,,
6,,447.650000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,,449.750000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,,438.650000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,,442.350000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,,444.650000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,,446.550000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,,448.550000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,,452.425000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
14,,400.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,,435.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,,469.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
